Word,AoA_Read_Mean,AoA_Read_Std.Dv,AoA_Write_Mean,AoA_Write_Std.Dv
provoke,8.593030901,2.670742496,9.468836565,2.494837113
overrule,9.15,3.575558052,9.6084375,3.072389693
apostrophe,9.027777778,3.876567783,9.9,4.142321032
ongoing,9.040540541,4.674663354,10.08108108,4.713328491
pudgy,9.486842105,3.144035198,10.15384615,2.814796071
uselessness,9.555555556,3.912941491,9.958333333,3.554423803
roughness,9.735294118,4.036266078,10.41428571,3.980625347
hubcap,9.346153846,3.492762905,9.961538462,3.391911073
patriotic,9.676470588,4.11369176,10.27142857,3.850788416
doorframe,10.06944444,4.107750128,10.52857143,4.04922443
prettiness,10,4.126381832,10.92105263,3.693541324
manliness,10.13235294,4.192903137,10.64285714,4.091906338
barbedwire,9.939393939,3.654529672,10.66176471,3.732982779
headwear,6.922453704,2.410257362,7.859183673,1.800483938
liquor,8.831428571,2.930646529,9.414858646,3.242398003
invisibility,8.898199446,2.934526554,9.83033241,2.85770112
gremlin,9.628571429,2.926408301,10.82857143,2.775795745
lollygag,10.11111111,3.31470988,10.59459459,3.237878759
bongo,7.821373457,3.11267526,8.459459459,3.298523193
leaker,7.328947368,2.122200273,8.210526316,2.349903905
mover,8.027777778,2.848419222,8.594594595,3.11322858
agreeable,8.131482834,2.696414699,9.118421053,3.323613734
watchmaker,8.819444444,3.094125258,9.624897959,2.946044091
downriver,9.289473684,3.504112601,10.06578947,3.65241692
switcheroo,9.486842105,4.087698821,10.18421053,3.780142019
verbal,7.027757487,2.581982897,7.925207756,2.898332994
unease,8.139183673,2.655238639,8.820601852,2.678449035
stepfather,8.324324324,3.830100478,9.115384615,3.942784113
winker,7.964081633,3.205068711,8.710526316,3.724701292
tiresome,8.583333333,2.37396594,9.054054054,2.57062407
goober,8.243243243,3.213732733,8.918918919,3.060758606
participant,8.702702703,3.283924353,9.08974359,3.501638329
eyeless,8.514285714,4.44324622,9.228571429,4.471055371
reread,8.486486486,3.828777159,9.135135135,3.701817588
overcrowd,8.72972973,2.742653304,9.394736842,2.961824435
battleground,8.824324324,3.075928532,9.636188272,3.390088617
kidnapping,8.367056245,2.668502673,9.657894737,3.190156446
tramp,8.6625,3.512591818,9.4625,3.264783929
hardheaded,8.851351351,3.320527202,9.689189189,3.315266353
saliva,8.447658402,3.539879818,9.426470588,3.992668191
stationery,8.564102564,3.507847382,9.513157895,3.341966653
undersize,9.121212121,3.718682359,9.442857143,3.493210702
limo,8.638888889,4.033097199,9.5,3.625887315
glaze,9.302631579,4.284698535,9.959459459,4.296927808
pastrami,9.148648649,3.851163001,9.337837838,3.372795688
pothole,9.588235294,3.612836098,10.29411765,3.630922846
resurrection,9.5,3.603624718,10.40540541,3.43357167
picnicker,9.459459459,3.512632715,10.36486486,3.654617796
edition,9.442857143,4.027061819,10.29166667,3.873674889
toughen,9.197368421,4.257805985,10.56756757,4.347991494
stubbornness,11.05882353,4.01279149,11.70588235,3.964076657
christen,7.382460973,2.562096209,8.178604224,2.486541937
matchbook,8.138888889,3.337259592,8.985714286,3.728833823
outlive,8.562819576,3.421578474,9.368421053,4.006218495
knockout,9.557142857,4.412168049,10.20833333,4.374234627
bannister,9.425,3.865611041,10.05,3.447035144
nappy,7.674307958,3.002013699,8.614285714,3.220078813
cuff,8.094594595,4.114401937,9,4.006938427
repot,8.330612245,2.802314561,9.221064815,2.948126582
mozzarella,8.379243827,3.285241401,9.563184806,3.566691661
pricey,8.37808642,2.89199526,9.020087655,2.935861776
disagreeable,9.4375,3.948764609,10.39393939,4.007332295
easiness,9.08244898,3.646758639,9.251157407,3.554765498
unpin,9.179487179,4.365666253,9.723684211,4.039831025
dividers,9.128205128,3.723534591,9.820512821,3.878902414
pleasantness,8.798392988,2.952154412,9.868421053,3.540659983
punchbowl,9.027027027,3.719218007,9.592105263,3.655531283
corkboard,8.660336012,2.898686557,8.871537396,3.120927284
wintergreen,9.447368421,2.887038775,9.846153846,2.817132375
humungous,9.717948718,3.47887397,10.8,3.206163935
dartboard,9.608108108,3.903586554,10.18918919,3.738596274
popover,9.407894737,3.563810713,10.37837838,3.50476938
sideburns,11.703125,4.20610036,11.98529412,4.541868015
nailfile,9.539473684,3.787214585,9.789473684,3.551991407
meaningful,8.044117647,3.709871449,8.808823529,3.37552399
brainless,8.289473684,3.358393235,9.179487179,3.40372702
florist,8.548575603,3.241446354,8.913805698,2.733810005
sprit,8.08,2.553060447,9.222222222,3.185781905
godfather,7.219238281,2.546203851,7.651515152,2.849026282
urinal,7.585714286,2.602277606,8.263888889,2.842247881
sharer,6.787419651,2.014604921,7.95959596,2.097050799
eggroll,7.859591837,2.66136487,8.171296296,2.33681241
lowness,7.850308642,3.114278984,8.407894737,3.246318628
onetime,7.912049861,3.316547342,9.064102564,3.406996453
uneatable,8.213061224,2.985849724,8.635030864,2.757970274
restack,8.384615385,4.057905764,9.526315789,3.763170329
unchanged,8.705882353,3.695036899,9.508571429,3.506663525
hostess,8.234764543,2.543316299,9.046398892,2.553415537
wreckage,8.421052632,2.725074548,9.157894737,2.883094394
tiebreaker,8.750692521,3.237820556,9.809007232,3.269999109
powerboat,8.851351351,3.24864259,9.581081081,3.652460194
mailwoman,8.314375,2.322062781,9.302631579,2.109468595
shoplift,9.409090909,3.673074635,10.11764706,3.659894897
undiscovered,8.492767916,2.624757943,9.465027701,2.829539083
tentmaker,8.708333333,3.574462997,9.714285714,3.16990841
balancer,9.065789474,3.377531188,9.894736842,3.615204182
resident,8.621141975,2.496294898,9.090577064,2.851996826
parenthood,8.842105263,3.705556936,9.776315789,3.301714068
sewage,9.208333333,3.744281354,9.736111111,3.704217888
unheard,9.569444444,3.854779552,10.66176471,3.821233714
moonrise,9.53030303,4.295599845,10.11764706,4.320596942
freshener,8.885041551,2.805713891,9.533240997,2.591708523
gusher,8.940499671,3.26119184,9.820512821,3.194335405
doughboy,8.827422145,3.559046907,9.941176471,3.944241498
talkativeness,9.897058824,2.65940131,10.82857143,2.955410933
premiere,8.821759259,2.441388557,9.56404321,2.712119409
bridal,9.368421053,3.299640051,9.546052632,2.636705089
bridesmaid,9.814285714,3.912810248,10.82352941,3.619983159
fiancee,9.641025641,3.209666153,10.30769231,3.297956673
waitperson,9.473684211,3.690651756,10.17567568,3.389559575
ventriloquist,9.921052632,3.486511297,10.88157895,3.366035061
forbid,10.07142857,4.222041005,10.77941176,3.849815376
lumberyard,10.63157895,3.713896858,11.42105263,3.29931671
chrysanthemum,11.38571429,3.674406143,11.48611111,3.866497328
disagreement,8.083333333,3.41739249,9.094594595,3.451726295
lateness,8.094594595,2.962351351,8.631117604,2.617979237
playback,7.476124885,2.21166075,8.188148789,2.282702126
wishful,7.685714286,3.434440005,8.283783784,3.9043077
swingy,7.651515152,2.785242495,8.224977043,2.239626765
fatherhood,8.485714286,3.335384523,8.653846154,3.660158621
crossroad,7.88434903,2.907366342,8.8875,3.543660826
margarine,8.626938776,3.165216058,9.577932099,2.925868474
hairstylist,8.050925926,3.036764006,8.885734072,3.625282006
directional,7.936326531,1.907073907,8.811541271,2.512118478
unwrinkled,8.208333333,3.019874643,9.19212963,2.838987317
feller,8.842105263,3.460403943,9.040540541,3.659801107
floodwater,8.867647059,3.693378234,9.35683391,3.274421695
downturn,8.59375,3.457183903,9.472972973,4.072171728
washbasin,8.547479912,2.744856368,9.526315789,3.179213247
baldy,8.727272727,3.486785117,9.263888889,3.208217376
erasable,8.401380671,3.587787632,9.474358974,3.802611149
evilness,9.328571429,2.90015937,9.605263158,3.056136704
cramp,8.631578947,3.74650145,9.105263158,3.654242064
greasiness,8.43767313,2.633565545,9.243243243,2.724940421
signalman,8.811851211,3.404796074,9.51755102,2.927355939
pompom,8.416204986,2.792683178,9.506574142,2.997951005
loudmouth,8.782051282,3.510875719,9.453320184,3.203399652
mightiness,8.694252078,2.494381337,9.736842105,3.01513489
believable,9,2.716317061,9.487179487,2.708386535
hotpot,8.585141354,2.950557554,9.448717949,3.302301573
unheated,9.314285714,4.261810086,9.305555556,4.137421174
unknowing,9.441176471,3.300056716,10.45714286,3.407110706
shading,8.611111111,2.985945916,9.347222222,3.081788545
loveseat,9.078125,4.138936623,9.382352941,3.772023859
pushbutton,9.528571429,4.367228993,10.15277778,4.320746371
hiker,9.611111111,3.849139256,10.2972973,3.79227918
gangster,9.391891892,3.829953465,9.878378378,3.600550508
reoccurring,9.525641026,3.182908133,10.2875,3.129445556
beeswax,9.776315789,4.349118221,10.41891892,4.011292244
pretender,9.397160665,2.54211339,10.38157895,2.400546702
typewritten,9.569444444,3.998486817,10.375,3.873674889
photographic,10.5,3.824264635,11.02631579,3.609198774
insulting,10.16176471,3.997576137,10.64705882,3.850480906
superintendent,10.47297297,4.041359002,11.33783784,3.721286467
dell,7.723765432,4.120527314,9.013513514,4.732403791
pushiness,8.272244898,2.873229802,8.631482834,2.861349139
taperecorder,10.11111111,3.964325039,11.22058824,3.828108118
seasoned,7.393518519,3.007702487,8.689189189,3.53425961
misunderstand,9.038062284,3.050271961,10.20588235,3.270894714
lettering,8.77666205,3.233501738,9.972972973,3.541315563
snaky,8.357142857,3.480135707,9.013513514,3.406461357
holey,8.051020408,2.939290254,8.878378378,3.147762445
animate,8.567906574,2.852104952,9.569444444,3.472653941
footbath,8.083265306,3.917077894,9.4,4.07069874
